id, check, score, max_score, error_var, good_var, message
i2, _fields_integrity_check, 1, 1, [], ['interactions.i2.fields'], Passed, interaction
i2, _field_check, 1, 1, [], ['fields.m3', 'fields.m4', 'fields.m6'], Passed, interaction
i2, _all_field_pass_checks, 1, 1, [], ['interactions.i2.fields'], Passed, interaction
i2, _sort_field, 1, 1, [], ['interactions.i2.fields'], Passed, interaction
i2, _gen_check, 1, 1, [], ['fields.m3.gen', 'fields.m4.gen'], Passed, interaction
i2, _dim_check, 1, 1, [], ['fields.m3.dim', 'fields.m6.dim'], Passed, interaction
i2, _dirac_bilinear_product, 1, 1, [], ['fields.m3.particles', 'fields.m4.particles'], Passed, interaction
i2, _get_massive_particles, 1, 1, [], ['fields.m3.particles', 'fields.m4.particles'], Passed, interaction
i2, _check_U1Y_gauge_symmetry, 1, 1, [], ['fields.m3.reps.g1', 'fields.m4.reps.g1', 'fields.m6.reps.g1'], Passed, interaction
i2, _yukawa_mass, 1, 1, [], ['interactions.i2.fields'], Passed, interaction
i2, _yukawa_matrix, 1, 1, [], ['interactions.i2.fields'], Passed, interaction
i2, _mixing_matrix, 1, 1, [], ['interactions.i2.fields'], Passed, interaction
i2, _yukawa_lagrangian, 1, 1, [], ['interactions.i2.fields'], Passed, interaction
i3, _fields_integrity_check, 1, 1, [], ['interactions.i3.fields'], Passed, interaction
i3, _field_check, 1, 1, [], ['fields.m3', 'fields.m5', 'fields.m6'], Passed, interaction
i3, _all_field_pass_checks, 1, 1, [], ['interactions.i3.fields'], Passed, interaction
i3, _sort_field, 1, 1, [], ['interactions.i3.fields'], Passed, interaction
i3, _gen_check, 1, 1, [], ['fields.m3.gen', 'fields.m5.gen'], Passed, interaction
i3, _dim_check, 1, 1, [], ['fields.m3.dim', 'fields.m6.dim'], Passed, interaction
i3, _dirac_bilinear_product, 1, 1, [], ['fields.m3.particles', 'fields.m5.particles'], Passed, interaction
i3, _get_massive_particles, 1, 1, [], ['fields.m3.particles', 'fields.m5.particles'], Passed, interaction
i3, _check_U1Y_gauge_symmetry, 1, 1, [], ['fields.m3.reps.g1', 'fields.m5.reps.g1', 'fields.m6.reps.g1'], Passed, interaction
i3, _yukawa_mass, 1, 1, [], ['interactions.i3.fields'], Passed, interaction
i3, _yukawa_matrix, 1, 1, [], ['interactions.i3.fields'], Passed, interaction
i3, _mixing_matrix, 1, 1, [], ['interactions.i3.fields'], Passed, interaction
i3, _yukawa_lagrangian, 1, 1, [], ['interactions.i3.fields'], Passed, interaction
i4, _params_check, 1, 1, [], ['interactions.i4.LambdaVar'], Passed, interaction
i4, _fields_integrity_check, 1, 1, [], ['interactions.i4.fields'], Passed, interaction
i4, _field_check, 1, 1, [], ['fields.m6'], Passed, interaction
i4, _all_field_pass_checks, 1, 1, [], ['interactions.i4.fields'], Passed, interaction
i4, _sort_field, 1, 1, [], ['interactions.i4.fields'], Passed, interaction
i4, _scalar_mass, 1, 1, [], ['interactions.i4.fields'], Passed, interaction
i4, _scalar_quartic, 1, 1, [], ['interactions.i4.fields'], Passed, interaction
i4, _scalar_lagrangian, 1, 1, [], ['interactions.i4.fields'], Passed, interaction
global, (left)^3, 1, 1, [], [], Passed, global
global, (color)^3, 1, 1, [], [], Passed, global
global, (hypercharge)x(left)^2, 1, 1, [], [], Passed, global
global, (hypercharge)x(color)^2, 1, 1, [], [], Passed, global
global, (hypercharge)^3, 1, 1, [], [], Passed, global
global, (hypercharge)^2-grav, 1, 1, [], [], Passed, global
